Driver Name,Club #,Ranking,Series Position,Series Points,R1 Points,R2 Points,R3 Points,R4 Points,R5 Points,R6 Points,R7 Points,R8 Points,R9 Points,R10 Points
Mad Dog Scowen,39,1,1,898,149,149,150,150,150,0,143,150,0,149
Jamie Stewart,8,2,2,888,144,147,143,145,148,149,148,144,148,148
Gary Wilkinson,7,1,3,883,0,148,141,148,145,146,148,148,143,0
Dean Henderson,13,4,4,855,0,144,138,145,140,144,139,142,140,0
Andrew Gardner,71,12,5,732,0,0,0,0,145,149,145,0,146,147
Gary Wright,T17,10,6,433,142,0,146,0,0,0,0,0,145,0
'Part Time' Paul Ainscow,T26,2,7,294,0,0,146,0,0,0,0,0,148,0
Matthew 'Alco' Gill,100,3,8,290,146,0,144,0,0,0,0,0,0,0
Mal Richardson,T23,6,9,149,149,0,0,0,0,0,0,0,0,0
Steven Dexter Forster,T22,9999,10,146,0,0,0,0,0,0,146,0,0,0
Mark 'Bubba Boost' Prior,T33,14,11,142,0,0,0,0,142,0,0,0,0,0
